11,2012,12719
12,2012,12706
10,2012,12389
3,2012,12005
2,2012,11687
1,2012,11471
12,2010,11303
9,2012,11296
12,2011,11249
10,2011,11225
11,2010,11192
11,2011,11133
10,2010,10935
3,2011,10168
2,2011,10038
9,2011,9772
1,2011,9728
9,2010,9644
4,2012,9598
3,2010,9401
12,2009,9226
2,2010,9170
11,2009,8965
10,2009,8906
1,2010,8869
5,2012,8463
9,2009,8025
4,2011,7984
4,2010,7712
3,2009,7676
8,2012,7550
2,2009,7539
1,2009,7492
6,2012,7455
5,2011,7270
5,2010,6923
8,2011,6472
4,2009,6401
6,2011,6276
8,2010,6259
6,2010,6003
5,2009,5674
8,2009,5047
7,2012,4930
6,2009,4870
12,2008,4634
10,2008,4620
11,2008,4538
7,2011,4208
7,2010,4107
9,2008,3946
7,2009,3286
8,2008,2666
6,2008,2470
7,2008,1738
5,2008,384
