Action,F,18.0,35
Action,F,19.0,43
Action,F,20.0,42
Action,F,21.0,35
Action,F,22.0,59
Action,F,23.0,64
Action,F,24.0,59
Action,F,25.0,70
Action,F,26.0,77
Action,F,27.0,77
Action,F,28.0,75
Action,F,29.0,58
Action,F,30.0,59
Action,F,31.0,52
Action,F,32.0,41
Action,F,33.0,44
Action,F,34.0,34
Action,F,35.0,24
Action,F,36.0,22
Action,F,37.0,19
Action,F,38.0,11
Action,F,39.0,8
Action,F,40.0,6
Action,F,41.0,6
Action,F,42.0,4
Action,F,43.0,2
Action,F,44.0,1
Action,M,18.0,342
Action,M,19.0,491
Action,M,20.0,661
Action,M,21.0,752
Action,M,22.0,795
Action,M,23.0,909
Action,M,24.0,903
Action,M,25.0,956
Action,M,26.0,925
Action,M,27.0,853
Action,M,28.0,706
Action,M,29.0,621
Action,M,30.0,497
Action,M,31.0,459
Action,M,32.0,321
Action,M,33.0,237
Action,M,34.0,165
Action,M,35.0,97
Action,M,36.0,70
Action,M,37.0,47
Action,M,38.0,33
Action,M,39.0,21
Action,M,40.0,6
Action,M,41.0,2
Action,M,43.0,1
Adventure,F,18.0,23
Adventure,F,19.0,31
Adventure,F,20.0,43
Adventure,F,21.0,54
Adventure,F,22.0,63
Adventure,F,23.0,67
Adventure,F,24.0,87
Adventure,F,25.0,62
Adventure,F,26.0,73
Adventure,F,27.0,68
Adventure,F,28.0,74
Adventure,F,29.0,75
Adventure,F,30.0,58
Adventure,F,31.0,65
Adventure,F,32.0,43
Adventure,F,33.0,50
Adventure,F,34.0,32
Adventure,F,35.0,23
Adventure,F,36.0,22
Adventure,F,37.0,15
Adventure,F,38.0,7
Adventure,F,39.0,8
Adventure,F,40.0,10
Adventure,F,41.0,3
Adventure,F,42.0,4
Adventure,F,43.0,3
Adventure,F,44.0,1
Adventure,M,18.0,193
Adventure,M,19.0,300
Adventure,M,20.0,319
Adventure,M,21.0,406
Adventure,M,22.0,433
Adventure,M,23.0,484
Adventure,M,24.0,462
Adventure,M,25.0,493
Adventure,M,26.0,555
Adventure,M,27.0,443
Adventure,M,28.0,415
Adventure,M,29.0,368
Adventure,M,30.0,272
Adventure,M,31.0,248
Adventure,M,32.0,179
Adventure,M,33.0,144
Adventure,M,34.0,97
Adventure,M,35.0,65
Adventure,M,36.0,38
Adventure,M,37.0,38
Adventure,M,38.0,11
Adventure,M,39.0,13
Adventure,M,40.0,3
Adventure,M,41.0,2
Adventure,M,42.0,1
Adventure,M,43.0,1
Animation,F,18.0,18
Animation,F,19.0,33
Animation,F,20.0,42
Animation,F,21.0,47
Animation,F,22.0,41
Animation,F,23.0,64
Animation,F,24.0,58
Animation,F,25.0,57
Animation,F,26.0,68
Animation,F,27.0,74
Animation,F,28.0,62
Animation,F,29.0,60
Animation,F,30.0,64
Animation,F,31.0,39
Animation,F,32.0,33
Animation,F,33.0,39
Animation,F,34.0,26
Animation,F,35.0,24
Animation,F,36.0,20
Animation,F,37.0,17
Animation,F,38.0,11
Animation,F,39.0,7
Animation,F,40.0,7
Animation,F,41.0,3
Animation,F,43.0,2
Animation,F,44.0,2
Animation,F,45.0,1
Animation,M,18.0,60
Animation,M,19.0,61
Animation,M,20.0,79
Animation,M,21.0,98
Animation,M,22.0,94
Animation,M,23.0,141
Animation,M,24.0,127
Animation,M,25.0,112
Animation,M,26.0,134
Animation,M,27.0,116
Animation,M,28.0,122
Animation,M,29.0,90
Animation,M,30.0,82
Animation,M,31.0,67
Animation,M,32.0,45
Animation,M,33.0,28
Animation,M,34.0,29
Animation,M,35.0,12
Animation,M,36.0,6
Animation,M,37.0,10
Animation,M,38.0,3
Animation,M,39.0,2
Biography,F,18.0,7
Biography,F,19.0,7
Biography,F,20.0,13
Biography,F,21.0,19
Biography,F,22.0,19
Biography,F,23.0,19
Biography,F,24.0,31
Biography,F,25.0,26
Biography,F,26.0,26
Biography,F,27.0,28
Biography,F,28.0,31
Biography,F,29.0,24
Biography,F,30.0,26
Biography,F,31.0,30
Biography,F,32.0,16
Biography,F,33.0,28
Biography,F,34.0,14
Biography,F,35.0,11
Biography,F,36.0,8
Biography,F,37.0,4
Biography,F,38.0,6
Biography,F,39.0,2
Biography,F,40.0,1
Biography,F,41.0,2
Biography,F,42.0,3
Biography,F,45.0,2
Comedy,F,18.0,22
Comedy,F,19.0,23
Comedy,F,20.0,36
Comedy,F,21.0,47
Comedy,F,22.0,58
Comedy,F,23.0,68
Comedy,F,24.0,66
Comedy,F,25.0,73
Comedy,F,26.0,51
Comedy,F,27.0,66
Comedy,F,28.0,59
Comedy,F,29.0,57
Comedy,F,30.0,63
Comedy,F,31.0,52
Comedy,F,32.0,42
Comedy,F,33.0,36
Comedy,F,34.0,26
Comedy,F,35.0,18
Comedy,F,36.0,19
Comedy,F,37.0,12
Comedy,F,38.0,14
Comedy,F,39.0,13
Comedy,F,40.0,11
Comedy,F,41.0,1
Comedy,F,42.0,1
Comedy,F,43.0,5
Comedy,F,44.0,1
Comedy,F,45.0,1
Comedy,M,18.0,60
Comedy,M,19.0,69
Comedy,M,20.0,100
Comedy,M,21.0,97
Comedy,M,22.0,139
Comedy,M,23.0,154
Comedy,M,24.0,134
Comedy,M,25.0,145
Comedy,M,26.0,140
Comedy,M,27.0,109
Comedy,M,28.0,114
Comedy,M,29.0,84
Comedy,M,30.0,79
Comedy,M,31.0,68
Comedy,M,32.0,53
Comedy,M,33.0,39
Comedy,M,34.0,21
Comedy,M,35.0,17
Comedy,M,36.0,10
Comedy,M,37.0,9
Comedy,M,38.0,3
Comedy,M,39.0,3
Comedy,M,40.0,1
Comedy,M,41.0,1
Crime,F,18.0,9
Crime,F,19.0,8
Crime,F,20.0,11
Crime,F,21.0,20
Crime,F,22.0,19
Crime,F,23.0,31
Crime,F,24.0,33
Crime,F,25.0,18
Crime,F,26.0,26
Crime,F,27.0,21
Crime,F,28.0,26
Crime,F,29.0,25
Crime,F,30.0,24
Crime,F,31.0,24
Crime,F,32.0,17
Crime,F,33.0,20
Crime,F,34.0,17
Crime,F,35.0,15
Crime,F,36.0,13
Crime,F,37.0,7
Crime,F,38.0,6
Crime,F,39.0,1
Crime,F,41.0,2
Crime,F,42.0,1
Crime,F,43.0,1
Crime,F,44.0,1
Crime,F,45.0,1
Crime,M,18.0,49
Crime,M,19.0,70
Crime,M,20.0,97
Crime,M,21.0,117
Crime,M,22.0,111
Crime,M,23.0,128
Crime,M,24.0,129
Crime,M,25.0,142
Crime,M,26.0,137
Crime,M,27.0,112
Crime,M,28.0,108
Crime,M,29.0,110
Crime,M,30.0,80
Crime,M,31.0,62
Crime,M,32.0,53
Crime,M,33.0,32
Crime,M,34.0,35
Crime,M,35.0,12
Crime,M,36.0,10
Crime,M,37.0,5
Crime,M,38.0,5
Crime,M,39.0,2
Crime,M,40.0,1
Crime,M,42.0,2
Crime,M,43.0,1
Documentary,F,18.0,9
Documentary,F,19.0,13
