Action,F,249,18.0
Action,F,334,19.0
Action,F,405,20.0
Action,F,435,21.0
Action,F,560,22.0
Action,F,584,23.0
Action,F,689,24.0
Action,F,687,25.0
Action,F,707,26.0
Action,F,686,27.0
Action,F,693,28.0
Action,F,676,29.0
Action,F,606,30.0
Action,F,526,31.0
Action,F,500,32.0
Action,F,431,33.0
Action,F,347,34.0
Action,F,247,35.0
Action,F,238,36.0
Action,F,178,37.0
Action,F,115,38.0
Action,F,66,39.0
Action,F,55,40.0
Action,F,58,41.0
Action,F,22,42.0
Action,F,18,43.0
Action,F,13,44.0
Action,F,6,45.0
Action,F,1,46.0
Action,F,2,47.0
Action,M,3543,18.0
Action,M,4911,19.0
Action,M,6024,20.0
Action,M,7170,21.0
Action,M,8071,22.0
Action,M,8700,23.0
Action,M,9319,24.0
Action,M,9299,25.0
Action,M,8994,26.0
Action,M,8318,27.0
Action,M,7429,28.0
Action,M,6456,29.0
Action,M,5204,30.0
Action,M,4214,31.0
Action,M,3120,32.0
Action,M,2389,33.0
Action,M,1601,34.0
Action,M,1037,35.0
Action,M,695,36.0
Action,M,432,37.0
Action,M,301,38.0
Action,M,182,39.0
Action,M,92,40.0
Action,M,32,41.0
Action,M,17,42.0
Action,M,10,43.0
Adventure,F,214,18.0
Adventure,F,348,19.0
Adventure,F,386,20.0
Adventure,F,454,21.0
Adventure,F,536,22.0
Adventure,F,625,23.0
Adventure,F,675,24.0
Adventure,F,708,25.0
Adventure,F,764,26.0
Adventure,F,700,27.0
Adventure,F,708,28.0
Adventure,F,670,29.0
Adventure,F,629,30.0
Adventure,F,543,31.0
Adventure,F,501,32.0
Adventure,F,443,33.0
Adventure,F,341,34.0
Adventure,F,297,35.0
Adventure,F,236,36.0
Adventure,F,170,37.0
Adventure,F,138,38.0
Adventure,F,70,39.0
Adventure,F,85,40.0
Adventure,F,38,41.0
Adventure,F,23,42.0
Adventure,F,18,43.0
Adventure,F,11,44.0
Adventure,F,5,45.0
Adventure,F,4,46.0
Adventure,F,2,47.0
Adventure,M,1917,18.0
Adventure,M,2815,19.0
Adventure,M,3395,20.0
Adventure,M,4007,21.0
Adventure,M,4558,22.0
Adventure,M,4795,23.0
Adventure,M,5007,24.0
Adventure,M,5080,25.0
Adventure,M,4944,26.0
Adventure,M,4528,27.0
Adventure,M,4150,28.0
Adventure,M,3558,29.0
Adventure,M,2865,30.0
Adventure,M,2321,31.0
Adventure,M,1726,32.0
Adventure,M,1257,33.0
Adventure,M,949,34.0
Adventure,M,622,35.0
Adventure,M,349,36.0
Adventure,M,245,37.0
Adventure,M,173,38.0
Adventure,M,98,39.0
Adventure,M,40,40.0
Adventure,M,16,41.0
Adventure,M,17,42.0
Adventure,M,5,43.0
Animation,F,219,18.0
Animation,F,295,19.0
Animation,F,364,20.0
Animation,F,385,21.0
Animation,F,466,22.0
Animation,F,567,23.0
Animation,F,553,24.0
Animation,F,614,25.0
Animation,F,640,26.0
Animation,F,659,27.0
Animation,F,679,28.0
Animation,F,619,29.0
Animation,F,527,30.0
Animation,F,471,31.0
Animation,F,467,32.0
Animation,F,373,33.0
Animation,F,297,34.0
Animation,F,256,35.0
Animation,F,203,36.0
Animation,F,145,37.0
Animation,F,106,38.0
Animation,F,62,39.0
Animation,F,57,40.0
Animation,F,33,41.0
Animation,F,22,42.0
Animation,F,12,43.0
Animation,F,11,44.0
Animation,F,5,45.0
Animation,F,4,46.0
Animation,F,4,47.0
Animation,M,539,18.0
Animation,M,659,19.0
Animation,M,899,20.0
Animation,M,1135,21.0
Animation,M,1178,22.0
Animation,M,1270,23.0
Animation,M,1376,24.0
Animation,M,1414,25.0
Animation,M,1292,26.0
Animation,M,1197,27.0
Animation,M,1088,28.0
Animation,M,926,29.0
Animation,M,777,30.0
Animation,M,642,31.0
Animation,M,468,32.0
Animation,M,345,33.0
Animation,M,255,34.0
Animation,M,173,35.0
Animation,M,77,36.0
Animation,M,72,37.0
Animation,M,35,38.0
Animation,M,26,39.0
Animation,M,11,40.0
Animation,M,3,41.0
Animation,M,4,42.0
Biography,F,75,18.0
Biography,F,113,19.0
Biography,F,170,20.0
Biography,F,163,21.0
Biography,F,207,22.0
Biography,F,218,23.0
Biography,F,273,24.0
Biography,F,279,25.0
Biography,F,271,26.0
Biography,F,310,27.0
Biography,F,244,28.0
Biography,F,278,29.0
Biography,F,263,30.0
Biography,F,220,31.0
Biography,F,197,32.0
Biography,F,180,33.0
Biography,F,139,34.0
Biography,F,107,35.0
Biography,F,78,36.0
Biography,F,71,37.0
Biography,F,41,38.0
Biography,F,32,39.0
Biography,F,28,40.0
Biography,F,15,41.0
Biography,F,15,42.0
Biography,F,8,43.0
Biography,F,3,45.0
Biography,F,2,46.0
Biography,M,2,29.0
Comedy,F,207,18.0
Comedy,F,294,19.0
Comedy,F,333,20.0
Comedy,F,421,21.0
Comedy,F,503,22.0
Comedy,F,540,23.0
Comedy,F,609,24.0
Comedy,F,687,25.0
Comedy,F,621,26.0
Comedy,F,680,27.0
Comedy,F,651,28.0
Comedy,F,552,29.0
Comedy,F,577,30.0
Comedy,F,458,31.0
Comedy,F,462,32.0
Comedy,F,378,33.0
Comedy,F,287,34.0
Comedy,F,234,35.0
Comedy,F,206,36.0
Comedy,F,179,37.0
Comedy,F,122,38.0
Comedy,F,79,39.0
Comedy,F,59,40.0
Comedy,F,35,41.0
Comedy,F,23,42.0
Comedy,F,26,43.0
Comedy,F,8,44.0
Comedy,F,3,45.0
Comedy,F,4,46.0
Comedy,F,1,47.0
Comedy,M,520,18.0
Comedy,M,733,19.0
Comedy,M,911,20.0
Comedy,M,1058,21.0
Comedy,M,1167,22.0
Comedy,M,1312,23.0
Comedy,M,1366,24.0
Comedy,M,1417,25.0
Comedy,M,1363,26.0
Comedy,M,1200,27.0
Comedy,M,1098,28.0
Comedy,M,969,29.0
Comedy,M,791,30.0
Comedy,M,635,31.0
Comedy,M,497,32.0
Comedy,M,349,33.0
Comedy,M,235,34.0
Comedy,M,154,35.0
Comedy,M,84,36.0
Comedy,M,74,37.0
Comedy,M,51,38.0
Comedy,M,29,39.0
Comedy,M,8,40.0
Comedy,M,5,41.0
Comedy,M,2,42.0
Comedy,M,5,43.0
Crime,F,87,18.0
Crime,F,139,19.0
Crime,F,149,20.0
Crime,F,177,21.0
Crime,F,223,22.0
Crime,F,243,23.0
Crime,F,278,24.0
Crime,F,252,25.0
Crime,F,284,26.0
Crime,F,293,27.0
Crime,F,253,28.0
Crime,F,255,29.0
Crime,F,252,30.0
Crime,F,211,31.0
Crime,F,207,32.0
Crime,F,200,33.0
Crime,F,118,34.0
Crime,F,121,35.0
Crime,F,85,36.0
Crime,F,66,37.0
Crime,F,40,38.0
Crime,F,23,39.0
Crime,F,19,40.0
Crime,F,17,41.0
Crime,F,8,42.0
Crime,F,6,43.0
Crime,F,4,44.0
Crime,F,6,45.0
Crime,F,1,46.0
Crime,M,498,18.0
Crime,M,663,19.0
Crime,M,895,20.0
Crime,M,1101,21.0
Crime,M,1224,22.0
Crime,M,1288,23.0
Crime,M,1385,24.0
Crime,M,1421,25.0
Crime,M,1331,26.0
Crime,M,1217,27.0
Crime,M,1089,28.0
Crime,M,998,29.0
Crime,M,775,30.0
Crime,M,633,31.0
Crime,M,487,32.0
Crime,M,342,33.0
Crime,M,249,34.0
Crime,M,172,35.0
Crime,M,86,36.0
Crime,M,59,37.0
Crime,M,42,38.0
Crime,M,18,39.0
Crime,M,10,40.0
Crime,M,1,41.0
Crime,M,5,42.0
Crime,M,2,43.0
Documentary,F,84,18.0
Documentary,F,105,19.0
Documentary,F,156,20.0
Documentary,F,166,21.0
Documentary,F,193,22.0
Documentary,F,239,23.0
Documentary,F,282,24.0
Documentary,F,278,25.0
Documentary,F,270,26.0
Documentary,F,274,27.0
Documentary,F,263,28.0
Documentary,F,254,29.0
Documentary,F,217,30.0
Documentary,F,207,31.0
Documentary,F,196,32.0
Documentary,F,160,33.0
Documentary,F,153,34.0
Documentary,F,124,35.0
Documentary,F,86,36.0
Documentary,F,63,37.0
Documentary,F,44,38.0
Documentary,F,26,39.0
Documentary,F,28,40.0
Documentary,F,15,41.0
Documentary,F,12,42.0
Documentary,F,5,43.0
Documentary,F,5,44.0
Documentary,F,3,45.0
Documentary,M,511,18.0
Documentary,M,744,19.0
Documentary,M,887,20.0
Documentary,M,1058,21.0
Documentary,M,1173,22.0
Documentary,M,1250,23.0
Documentary,M,1352,24.0
Documentary,M,1378,25.0
Documentary,M,1346,26.0
Documentary,M,1246,27.0
Documentary,M,1111,28.0
Documentary,M,955,29.0
Documentary,M,765,30.0
Documentary,M,587,31.0
Documentary,M,474,32.0
Documentary,M,323,33.0
Documentary,M,237,34.0
Documentary,M,150,35.0
Documentary,M,100,36.0
Documentary,M,78,37.0
Documentary,M,35,38.0
Documentary,M,19,39.0
Documentary,M,16,40.0
Documentary,M,1,41.0
Documentary,M,7,42.0
Documentary,M,2,43.0
Fantasy,F,93,18.0
Fantasy,F,113,19.0
Fantasy,F,135,20.0
Fantasy,F,181,21.0
Fantasy,F,229,22.0
Fantasy,F,244,23.0
Fantasy,F,293,24.0
Fantasy,F,277,25.0
Fantasy,F,321,26.0
Fantasy,F,325,27.0
Fantasy,F,289,28.0
Fantasy,F,273,29.0
Fantasy,F,228,30.0
Fantasy,F,226,31.0
Fantasy,F,216,32.0
Fantasy,F,154,33.0
Fantasy,F,158,34.0
Fantasy,F,85,35.0
Fantasy,F,80,36.0
Fantasy,F,66,37.0
Fantasy,F,55,38.0
Fantasy,F,35,39.0
Fantasy,F,31,40.0
Fantasy,F,14,41.0
Fantasy,F,7,42.0
Fantasy,F,4,43.0
Fantasy,F,2,44.0
Fantasy,F,1,45.0
Fantasy,F,1,46.0
Fantasy,M,508,18.0
Fantasy,M,766,19.0
Fantasy,M,897,20.0
Fantasy,M,1068,21.0
Fantasy,M,1271,22.0
Fantasy,M,1301,23.0
Fantasy,M,1343,24.0
Fantasy,M,1339,25.0
Fantasy,M,1313,26.0
Fantasy,M,1241,27.0
Fantasy,M,1104,28.0
Fantasy,M,935,29.0
Fantasy,M,784,30.0
Fantasy,M,633,31.0
Fantasy,M,461,32.0
Fantasy,M,354,33.0
Fantasy,M,258,34.0
Fantasy,M,150,35.0
Fantasy,M,113,36.0
Fantasy,M,81,37.0
Fantasy,M,41,38.0
Fantasy,M,24,39.0
Fantasy,M,12,40.0
Fantasy,M,5,41.0
Fantasy,M,1,42.0
Fantasy,M,2,43.0
History,F,88,18.0
History,F,124,19.0
History,F,165,20.0
History,F,188,21.0
History,F,226,22.0
History,F,250,23.0
History,F,261,24.0
History,F,278,25.0
History,F,287,26.0
History,F,312,27.0
History,F,291,28.0
History,F,276,29.0
History,F,242,30.0
History,F,228,31.0
History,F,194,32.0
History,F,160,33.0
History,F,134,34.0
History,F,117,35.0
History,F,81,36.0
History,F,66,37.0
History,F,48,38.0
History,F,33,39.0
History,F,20,40.0
History,F,12,41.0
History,F,8,42.0
