12,2012,10278
2,2012,10241
1,2012,10154
11,2012,10070
3,2012,10062
10,2012,10018
3,2011,9371
9,2012,9281
1,2011,9271
10,2011,9255
12,2011,9253
11,2011,9231
2,2011,9205
10,2010,8609
9,2011,8528
3,2010,8327
12,2010,8324
1,2010,8324
2,2010,8274
11,2010,8223
4,2012,8151
9,2010,7657
4,2011,7287
5,2012,7014
4,2010,6737
5,2011,6589
3,2009,6454
11,2009,6451
1,2009,6445
10,2009,6433
12,2009,6394
2,2009,6324
6,2012,6243
8,2012,6190
5,2010,5821
9,2009,5771
8,2011,5599
6,2011,5449
4,2009,5254
8,2010,4973
6,2010,4959
12,2008,4696
10,2008,4645
11,2008,4547
5,2009,4433
9,2008,4170
7,2012,4087
8,2009,3987
6,2009,3853
7,2011,3672
7,2010,3322
8,2008,2750
6,2008,2722
7,2009,2592
7,2008,1870
5,2008,367
